timestamp,tick_index,open,high,low,close,volume,macd_fast,macd_slow,macd_diff,signal,hist,ema10,ema20,ema50,ema100,ema200,ema10_vs_20,ema20_vs_50,rsi_extreme,pine_bar_color,pine_bg_color,jerk_raw,acc_smooth,velocity,norm_jerk,pos_norm_20,tr_5d_avg,tr_20d_avg,tr_ratio_5d_20d,tr_ratio_20d_60d,readable_time
1688515200000,10,30766.52,30878.07,30200.00,30504.81,33215.6712,61.6404,61.6404,61.6404,28.9487,32.6917,30610.5188,30549.5018,30499.9807,30481.6421,30472.2164,Bullish,Bullish,Normal,PureGreen,green,0,0,0,0,53.4473,639.1040,812.7260,0.8343,0,2023-07-05 00:00:00
1688601600000,11,30504.80,31500.00,29850.45,29895.43,71319.6261,1.4135,1.4135,1.4135,23.4417,-22.0282,30480.5027,30487.2093,30476.2728,30470.0339,30466.4773,Bearish,Bullish,Normal,LightRed,lightgreen,0,0,0,0,19.7715,900.8080,888.8009,1.8559,0,2023-07-06 00:00:00
1688688000000,12,29895.42,30449.00,29701.02,30344.70,34070.5390,-9.9498,-9.9498,-9.9498,16.7634,-26.7132,30455.8113,30473.6370,30471.1131,30467.5520,30465.2655,Bearish,Bullish,Normal,LightRed,lightgreen,0,0,0,0,42.2350,923.2040,877.0658,0.8528,0,2023-07-07 00:00:00
1688774400000,13,30344.70,30386.81,30044.47,30284.63,13094.5904,-23.5311,-23.5311,-23.5311,8.7045,-32.2356,30424.6874,30455.6363,30463.8001,30463.9298,30463.4682,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,39.2315,829.7260,835.9331,0.4095,0,2023-07-08 00:00:00
1688860800000,14,30284.63,30445.52,30061.12,30160.71,15388.5020,-43.7889,-43.7889,-43.7889,-1.7942,-41.9948,30376.6915,30427.5481,30451.9142,30457.9255,30460.4557,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,33.0355,760.4680,803.6807,0.4783,0,2023-07-09 00:00:00
1688947200000,15,30160.71,31045.78,29950.00,30411.57,41262.8765,-39.1498,-39.1498,-39.1498,-9.2653,-29.8845,30383.0331,30426.0263,30450.3320,30457.0075,30459.9692,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,45.5785,844.01,823.1540,1.3312,0,2023-07-10 00:00:00
1689033600000,16,30411.57,30813.63,30300.00,30622.10,28476.8331,-18.2746,-18.2746,-18.2746,-11.0672,-7.2075,30426.4998,30444.7000,30457.0680,30460.2767,30461.5825,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,56.1050,616.8260,803.8088,0.6390,0,2023-07-11 00:00:00
1689120000000,17,30622.10,30983.25,30210.00,30380.00,38108.9967,-21.0240,-21.0240,-21.0240,-13.0585,-7.9654,30418.0453,30438.5381,30454.0458,30458.6871,30460.7707,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,44.00,621.88,802.0112,0.9641,0,2023-07-12 00:00:00
1689206400000,18,30380.00,31804.20,30251.00,31454.23,70772.5184,62.7551,62.7551,62.7551,2.1042,60.6509,30606.4425,30535.2707,30493.2687,30478.4008,30470.6559,Bullish,Bullish,Normal,PureGreen,green,0,0,0,0,84.8116,864.0520,843.7439,1.8408,0,2023-07-13 00:00:00
1689292800000,19,31454.23,31630.00,29900.00,30312.01,60749.4842,36.5616,36.5616,36.5616,8.9957,27.5659,30552.9093,30514.0078,30486.1605,30475.1059,30469.0773,Bullish,Bullish,Normal,PureGreen,green,0,0,0,0,35.2404,1133.1720,890.3889,1.9430,0,2023-07-14 00:00:00
1689379200000,20,30312.00,30390.90,30200.00,30289.52,14118.5533,13.8289,13.8289,13.8289,9.9623,3.8666,30505.0203,30492.6280,30478.4491,30471.4310,30467.2907,Bullish,Bullish,Normal,PureGreen,green,0,0,0,0,34.2644,952.1960,855.4145,0.2232,0,2023-07-15 00:00:00
1689465600000,21,30289.52,30441.46,30064.29,30231.99,15760.1281,-8.7286,-8.7286,-8.7286,6.2241,-14.9527,30455.3785,30467.8053,30468.7840,30466.6895,30464.9494,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,31.7676,924.9040,837.4730,0.4504,0,2023-07-16 00:00:00
1689552000000,22,30232.00,30336.96,29659.20,30138.00,30882.7684,-33.8001,-33.8001,-33.8001,-1.7807,-32.0194,30397.6733,30436.3953,30455.8121,30460.1808,30461.6961,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,27.6886,905.8060,832.9210,0.8137,0,2023-07-17 00:00:00
1689638400000,23,30138.01,30239.78,29512.00,29859.13,30003.8601,-75.3038,-75.3038,-75.3038,-16.4853,-58.8185,30299.7563,30381.4176,30432.4128,30448.2788,30455.7005,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,15.5859,740.7220,826.7630,0.8803,0,2023-07-18 00:00:00
1689724800000,24,29859.14,30189.09,29761.96,29909.21,25657.3614,-102.9679,-102.9679,-102.9679,-33.7818,-69.1860,30228.7479,30336.4455,30411.8951,30437.6042,30450.2627,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.7593,480.1480,808.4195,0.5284,0,2023-07-19 00:00:00
1689811200000,25,29909.21,30417.46,29570.96,29800.00,37540.6819,-132.1805,-132.1805,-132.1805,-53.4616,-78.7189,30150.7937,30285.3554,30387.8992,30424.9784,30443.7925,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,12.5643,611.2680,761.6445,1.1114,0,2023-07-20 00:00:00
1689897600000,26,29800.00,30061.70,29726.34,29901.72,23881.4086,-145.4471,-145.4471,-145.4471,-71.8587,-73.5884,30105.5076,30248.8187,30368.8333,30414.6168,30438.3987,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,17.0020,602.9060,761.3610,0.4405,0,2023-07-21 00:00:00
1689984000000,27,29901.72,29999.00,29625.10,29794.00,14660.4047,-162.7767,-162.7767,-162.7767,-90.0423,-72.7344,30048.8699,30205.5027,30346.2908,30402.3274,30431.9868,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,12.3026,542.1340,748.2560,0.4997,0,2023-07-22 00:00:00
1690070400000,28,29793.99,30350.00,29730.00,30083.75,18292.7864,-151.3851,-151.3851,-151.3851,-102.3108,-49.0742,30055.2117,30193.9072,30335.9951,30396.0189,30428.5217,Bearish,Bearish,Normal,PureRed,red,0,0,0,0,24.9433,520.5780,738.7695,0.8392,0,2023-07-23 00:00:00
