timestamp,open,high,low,close,volume
1759968000000,123237.39999999999417923390863,123279.6999999999970896169543,123237.39999999999417923390863,123272.89999999999417923390863,82.06999999999999317878973668
1759968060000,123272.89999999999417923390863,123273,123242.6999999999970896169543,123242.80000000000291038304566,54.155000000000001136868377205
1759968120000,123242.80000000000291038304566,123242.80000000000291038304566,123213.89999999999417923390863,123214,45.09799999999999897681846049
1759968180000,123213.89999999999417923390863,123214,123207.89999999999417923390863,123208,35.15899999999999891997504164
1759968240000,123208,123208,123156.60000000000582076609132,123156.60000000000582076609132,90.01300000000000522959453517
1759968300000,123156.60000000000582076609132,123156.6999999999970896169543,123097.89999999999417923390863,123097.89999999999417923390863,52.679999999999999715782905675
1759968360000,123097.89999999999417923390863,123098,123047.5,123047.5,36.26299999999999812416717758
1759968420000,123047.5,123047.5,122959.6999999999970896169543,122970.6999999999970896169543,80.56699999999999306510289895
1759968480000,122970.6999999999970896169543,123017.6999999999970896169543,122970.60000000000582076609132,123017.60000000000582076609132,71.64300000000000068212102631
1759968540000,123017.60000000000582076609132,123017.6999999999970896169543,122977.80000000000291038304566,122977.80000000000291038304566,41.32600000000000051159076973
1759968600000,122977.80000000000291038304566,123040.30000000000291038304566,122977.80000000000291038304566,123025.10000000000582076609132,69.623999999999995225152815665
1759968660000,123025.10000000000582076609132,123025.10000000000582076609132,122975.6999999999970896169543,122989.60000000000582076609132,40.121999999999999886313162265
1759968720000,122989.60000000000582076609132,122996.39999999999417923390863,122989.60000000000582076609132,122996.39999999999417923390863,17.0700000000000002842170943
1759968780000,122996.39999999999417923390863,123010.39999999999417923390863,122996.30000000000291038304566,123010.39999999999417923390863,11.990999999999999658939486831
1759968840000,123010.39999999999417923390863,123051.80000000000291038304566,123010.30000000000291038304566,123051.6999999999970896169543,26.803999999999998493649400182
1759968900000,123051.80000000000291038304566,123105,123036.10000000000582076609132,123036.1999999999970896169543,61.07699999999999818101059644
1759968960000,123036.1999999999970896169543,123056.39999999999417923390863,123020.1999999999970896169543,123036.39999999999417923390863,30.044000000000000483169060305
1759969020000,123036.39999999999417923390863,123040.89999999999417923390863,123036.30000000000291038304566,123040.89999999999417923390863,10.131000000000000227373675441
1759969080000,123040.89999999999417923390863,123131.30000000000291038304566,123040.89999999999417923390863,123131.30000000000291038304566,32.64600000000000079580786404
1759969140000,123131.30000000000291038304566,123195.1999999999970896169543,123131.30000000000291038304566,123190.10000000000582076609132,35.267000000000003012701199612
1759969200000,123190.10000000000582076609132,123206.10000000000582076609132,123136.6999999999970896169543,123136.6999999999970896169543,28.342999999999999971578290555
1759969260000,123136.60000000000582076609132,123167.5,123131.30000000000291038304566,123157.30000000000291038304566,16.125
1759969320000,123157.30000000000291038304566,123172.60000000000582076609132,123154.89999999999417923390863,123159.89999999999417923390863,15.057999999999999829469743413
1759969380000,123160,123169.60000000000582076609132,123152.30000000000291038304566,123169.5,16.442000000000000170530256577
1759969440000,123169.60000000000582076609132,123169.60000000000582076609132,123100,123113.60000000000582076609132,21.800000000000000710542735752
1759969500000,123113.6999999999970896169543,123113.6999999999970896169543,123100,123100,8.923000000000000042632564142
1759969560000,123100,123107.5,123063.6999999999970896169543,123063.80000000000291038304566,29.79599999999999937472239252
1759969620000,123063.6999999999970896169543,123063.80000000000291038304566,123037,123050.39999999999417923390863,24.221000000000000085265128282
1759969680000,123050.30000000000291038304566,123050.39999999999417923390863,123050.30000000000291038304566,123050.39999999999417923390863,11.958999999999999630517777401
1759969740000,123050.30000000000291038304566,123057.60000000000582076609132,122989.60000000000582076609132,123000,58.557999999999999829469743405
1759969800000,122999.89999999999417923390863,123048.6999999999970896169543,122965.80000000000291038304566,122965.80000000000291038304566,33.539999999999999147348717077
1759969860000,122965.80000000000291038304566,123007.1999999999970896169543,122952.89999999999417923390863,122953,40.593000000000003524291969355
1759969920000,122953,122957,122882.80000000000291038304566,122895.80000000000291038304566,73.14100000000000534328137289
1759969980000,122895.80000000000291038304566,122895.89999999999417923390863,122801.10000000000582076609132,122815.30000000000291038304566,114.49500000000000454747350883
1759970040000,122815.39999999999417923390863,122884.80000000000291038304566,122802.30000000000291038304566,122884.80000000000291038304566,69.36799999999999499777914023
1759970100000,122884.6999999999970896169543,122899.5,122850,122876.89999999999417923390863,42.625
1759970160000,122876.80000000000291038304566,122879.10000000000582076609132,122858.6999999999970896169543,122879.10000000000582076609132,28.123999999999998777866494482
1759970220000,122879.10000000000582076609132,122932,122875.6999999999970896169543,122931,21.693000000000001392663762082
1759970280000,122931,122971.89999999999417923390863,122930.89999999999417923390863,122960.60000000000582076609132,35.243000000000002103206497837
1759970340000,122960.6999999999970896169543,122960.6999999999970896169543,122906.60000000000582076609132,122947.6999999999970896169543,29.06800000000000139266376208
1759970400000,122947.80000000000291038304566,123015.80000000000291038304566,122929.10000000000582076609132,123015.6999999999970896169543,43.496000000000002216893335555
1759970460000,123015.80000000000291038304566,123031.10000000000582076609132,122966.60000000000582076609132,122966.6999999999970896169543,34.030999999999998806288203915
1759970520000,122966.6999999999970896169543,122980.80000000000291038304566,122966.60000000000582076609132,122971.30000000000291038304566,19.692000000000000170530256577
1759970580000,122971.1999999999970896169543,122991.89999999999417923390863,122966.1999999999970896169543,122966.1999999999970896169543,10.382999999999999118927007656
1759970640000,122966.1999999999970896169543,122982,122900.10000000000582076609132,122906.30000000000291038304566,46.51400000000000289901436189
1759970700000,122906.30000000000291038304566,122942.89999999999417923390863,122878.6999999999970896169543,122942.89999999999417923390863,34.323000000000000397903932017
1759970760000,122942.89999999999417923390863,122966.6999999999970896169543,122942.80000000000291038304566,122966.60000000000582076609132,12.603999999999999204192135945
1759970820000,122966.6999999999970896169543,123028.30000000000291038304566,122966.6999999999970896169543,123020.89999999999417923390863,33.06099999999999994315658113
1759970880000,123020.89999999999417923390863,123050,122995.39999999999417923390863,123050,29.525999999999999801048033977
1759970940000,123050,123062.30000000000291038304566,123049.80000000000291038304566,123049.80000000000291038304566,14.201000000000000511590769743
1759971000000,123049.89999999999417923390863,123049.89999999999417923390863,123009,123025.80000000000291038304566,13.647000000000000241584530152
1759971060000,123025.89999999999417923390863,123032.10000000000582076609132,123007.30000000000291038304566,123007.30000000000291038304566,8.146000000000000795807864048
1759971120000,123007.1999999999970896169543,123007.30000000000291038304566,122930.80000000000291038304566,122938.6999999999970896169543,68.579999999999998294697434155
1759971180000,122938.6999999999970896169543,122968.6999999999970896169543,122889.39999999999417923390863,122903.10000000000582076609132,85.43000000000000682121026328
1759971240000,122903.10000000000582076609132,122920.60000000000582076609132,122879.80000000000291038304566,122899.10000000000582076609132,20.768999999999998351540853032
1759971300000,122899,122923.80000000000291038304566,122899,122909.10000000000582076609132,20.978000000000001534772309232
1759971360000,122909.10000000000582076609132,122926.80000000000291038304566,122909.10000000000582076609132,122926.10000000000582076609132,9.926000000000000156319401863
1759971420000,122926.1999999999970896169543,122926.1999999999970896169543,122926,122926.1999999999970896169543,4.8600000000000003197442310905
1759971480000,122926.10000000000582076609132,122926.1999999999970896169543,122887.80000000000291038304566,122887.89999999999417923390863,16.81599999999999894839675107
1759971540000,122887.80000000000291038304566,122887.80000000000291038304566,122782,122782,89.70000000000000284217094301
1759971600000,122782,122806,122750,122806,161.44399999999998840394255235
1759971660000,122806,122806,122709.89999999999417923390863,122725.80000000000291038304566,110.92400000000000659383658781
1759971720000,122725.80000000000291038304566,122725.80000000000291038304566,122622.5,122651.89999999999417923390863,363.8929999999999722604115958
1759971780000,122651.89999999999417923390863,122651.89999999999417923390863,122558,122650.80000000000291038304566,180.81899999999998840394255235
1759971840000,122650.6999999999970896169543,122671.60000000000582076609132,122622.60000000000582076609132,122622.6999999999970896169543,60.27199999999999846522769075
1759971900000,122622.6999999999970896169543,122622.6999999999970896169543,122563.6999999999970896169543,122604.60000000000582076609132,67.819999999999993178789736685
1759971960000,122604.60000000000582076609132,122648.39999999999417923390863,122580,122648.39999999999417923390863,75.242000000000004433786671125
1759972020000,122648.30000000000291038304566,122684.5,122591.5,122591.60000000000582076609132,92.45799999999999840838427188
1759972080000,122591.5,122596.80000000000291038304566,122560,122574,45.10099999999999909050529821
1759972140000,122573.89999999999417923390863,122574,122535,122567.80000000000291038304566,58.46000000000000085265128289
1759972200000,122567.80000000000291038304566,122611.89999999999417923390863,122539.89999999999417923390863,122611.89999999999417923390863,40.89699999999999846522769075
1759972260000,122611.80000000000291038304566,122666,122611.80000000000291038304566,122629.10000000000582076609132,49.347000000000001307398633785
1759972320000,122629.1999999999970896169543,122658.6999999999970896169543,122629.1999999999970896169543,122658.6999999999970896169543,34.726999999999996759925124925
1759972380000,122658.6999999999970896169543,122667.89999999999417923390863,122640,122640.10000000000582076609132,19.876999999999998891553332207
1759972440000,122640,122640.10000000000582076609132,122576.30000000000291038304566,122576.30000000000291038304566,25.06800000000000139266376208
1759972500000,122576.30000000000291038304566,122614.39999999999417923390863,122511.30000000000291038304566,122531.30000000000291038304566,94.88899999999999579358700426
1759972560000,122531.30000000000291038304566,122590,122424.1999999999970896169543,122590,298.1429999999999722604115958
1759972620000,122590,122710.89999999999417923390863,122590,122710.89999999999417923390863,114.16200000000000613908923693
1759972680000,122710.80000000000291038304566,122710.89999999999417923390863,122591.5,122591.60000000000582076609132,76.49299999999999499777914023
1759972740000,122591.60000000000582076609132,122591.6999999999970896169543,122471.5,122532.89999999999417923390863,111.99099999999999965893948681
1759972800000,122533.5,122645.30000000000291038304566,122533.5,122634.5,37.167999999999999261035554795
1759972860000,122634.39999999999417923390863,122634.5,122540.10000000000582076609132,122591.89999999999417923390863,41.649999999999998578914528465
1759972920000,122591.89999999999417923390863,122600,122559.39999999999417923390863,122580.10000000000582076609132,32.892000000000003012701199612
1759972980000,122580.10000000000582076609132,122600,122563.5,122563.60000000000582076609132,24.765000000000000568434188602
1759973040000,122563.60000000000582076609132,122583.30000000000291038304566,122527.89999999999417923390863,122583.1999999999970896169543,26.323000000000000397903932017
1759973100000,122583.1999999999970896169543,122628.39999999999417923390863,122576.10000000000582076609132,122597.80000000000291038304566,38.545000000000001705302565812
1759973160000,122597.6999999999970896169543,122604.5,122555,122604.5,56.32800000000000295585778074
1759973220000,122604.39999999999417923390863,122604.5,122530,122533.10000000000582076609132,29.780999999999998806288203915
1759973280000,122533,122533.10000000000582076609132,122475,122506.6999999999970896169543,58.603999999999999204192135935
1759973340000,122506.80000000000291038304566,122506.80000000000291038304566,122462.89999999999417923390863,122471.89999999999417923390863,30.865999999999999658939486827
1759973400000,122471.89999999999417923390863,122472,122427.5,122436.1999999999970896169543,64.79600000000000648014975011
1759973460000,122436.10000000000582076609132,122447.80000000000291038304566,122414.60000000000582076609132,122430.6999999999970896169543,76.539000000000001477928890355
1759973520000,122430,122436,122389.60000000000582076609132,122389.60000000000582076609132,99.06799999999999783995008325
1759973580000,122389.60000000000582076609132,122413.89999999999417923390863,122334,122396.30000000000291038304566,172.3139999999999929514160612
1759973640000,122396.1999999999970896169543,122400,122340,122391,79.2819999999999964757080306
1759973700000,122390.89999999999417923390863,122426.39999999999417923390863,122363.30000000000291038304566,122426.39999999999417923390863,42.920000000000001705302565805
1759973760000,122426.39999999999417923390863,122426.39999999999417923390863,122373,122373,27.731999999999999317878973662
1759973820000,122373,122391.39999999999417923390863,122337.80000000000291038304566,122354.39999999999417923390863,101.40200000000000102318153946
1759973880000,122354.30000000000291038304566,122354.30000000000291038304566,122326.89999999999417923390863,122330,39.316000000000002501110429865
1759973940000,122330.10000000000582076609132,122330.10000000000582076609132,122300,122330,81.88700000000000045474735087
1759974000000,122330,122345,122317.39999999999417923390863,122331.80000000000291038304566,60.46099999999999852207110959
1759974060000,122331.89999999999417923390863,122403.30000000000291038304566,122331.80000000000291038304566,122403.30000000000291038304566,52.993999999999999772626324535
1759974120000,122403.30000000000291038304566,122411.10000000000582076609132,122367.60000000000582076609132,122400,47.866999999999997328359313525
1759974180000,122400,122408.5,122325.80000000000291038304566,122347.10000000000582076609132,55.853999999999999204192135935
1759974240000,122347,122347.10000000000582076609132,122272.6999999999970896169543,122284.30000000000291038304566,122.74099999999999965893948681
1759974300000,122284.39999999999417923390863,122337.60000000000582076609132,122284.39999999999417923390863,122337.60000000000582076609132,73.51600000000000534328137289
1759974360000,122337.60000000000582076609132,122405.5,122337.60000000000582076609132,122390.89999999999417923390863,75.63899999999999579358700428
1759974420000,122390.89999999999417923390863,122397.1999999999970896169543,122352.1999999999970896169543,122397.1999999999970896169543,40.417000000000001591615728085
1759974480000,122397.1999999999970896169543,122397.1999999999970896169543,122382.1999999999970896169543,122389.1999999999970896169543,23.125
1759974540000,122389.30000000000291038304566,122389.30000000000291038304566,122343.39999999999417923390863,122343.5,49.64000000000000056843418859
1759974600000,122343.5,122361.60000000000582076609132,122325.89999999999417923390863,122326,41.95300000000000295585778075
1759974660000,122325.89999999999417923390863,122341.80000000000291038304566,122325.89999999999417923390863,122341.6999999999970896169543,21.15899999999999891997504164
1759974720000,122341.80000000000291038304566,122390,122341.6999999999970896169543,122390,20.57999999999999829469743417
1759974780000,122389.89999999999417923390863,122397.30000000000291038304566,122375.6999999999970896169543,122380.10000000000582076609132,21.155999999999998806288203915
1759974840000,122380.10000000000582076609132,122439,122375.6999999999970896169543,122390.39999999999417923390863,94.99599999999999511146597794
1759974900000,122390.39999999999417923390863,122398.80000000000291038304566,122382.1999999999970896169543,122390.1999999999970896169543,23.95799999999999840838427189
1759974960000,122390.1999999999970896169543,122469.6999999999970896169543,122390.10000000000582076609132,122469.5,35.893000000000000682121026317
1759975020000,122469.5,122497.60000000000582076609132,122462.60000000000582076609132,122488.60000000000582076609132,83.1689999999999969304553815
